state_usps,2005,2006,2007,2008,2009,2010,2013,2014,2015,2016,2017,2022,2023
AK,1,1,1,1,1,1,0,0,0,0,0,1,1
AL,1,1,1,1,1,1,0,0,0,0,0,1,1
AR,1,1,1,1,1,1,0,0,0,0,0,0,1
AZ,1,1,1,1,1,1,0,0,0,0,0,1,1
CA,1,1,1,1,1,1,0,0,0,0,0,1,1
CO,1,1,1,1,1,1,0,0,0,0,0,0,0
CT,1,1,1,1,1,1,0,0,0,0,0,1,1
DC,1,1,1,1,1,1,0,0,0,0,0,1,1
DE,1,1,1,1,1,1,0,0,0,0,0,1,1
FL,1,1,1,1,1,1,0,0,0,0,0,1,0
GA,1,1,1,1,1,1,0,0,0,0,0,1,1
GU,0,0,1,1,1,1,0,0,0,0,0,0,0
HI,1,1,1,1,1,1,0,0,0,0,0,0,1
IA,1,1,1,1,1,1,0,0,0,0,0,1,1
ID,1,1,1,1,1,1,0,0,0,0,0,1,1
IL,1,1,1,1,1,1,0,0,0,0,0,0,1
IN,1,1,1,1,1,1,0,0,0,0,0,1,1
KS,1,1,1,1,1,1,0,0,0,0,0,1,1
KY,1,1,1,1,1,1,0,0,0,0,0,1,0
LA,1,1,1,1,1,1,0,0,0,1,0,0,1
MA,1,1,1,1,1,1,0,0,0,0,0,1,1
MD,1,1,1,1,1,1,0,0,0,0,0,0,0
ME,1,1,1,1,1,1,0,0,0,0,0,1,1
MI,1,1,1,1,1,1,0,0,0,0,0,0,0
MN,1,1,1,1,1,1,0,1,1,1,1,1,1
MO,1,1,1,1,1,1,0,0,0,0,0,1,1
MS,1,1,1,1,1,1,1,0,0,0,0,1,1
MT,1,1,1,1,1,1,0,0,0,0,0,1,1
NC,1,1,1,1,1,1,0,0,0,0,0,1,1
ND,1,1,1,1,1,1,0,0,0,0,0,0,1
NE,1,1,1,1,1,1,0,0,0,0,0,0,0
NH,1,1,1,1,1,1,0,0,0,0,0,1,1
NJ,1,1,1,1,1,1,0,0,0,0,0,1,1
NM,1,1,1,1,1,1,0,0,0,0,0,1,1
NV,1,1,1,1,1,1,0,0,0,0,0,1,1
NY,1,1,1,1,1,1,0,0,0,0,0,0,0
OH,1,1,1,1,1,1,0,0,0,0,0,0,0
OK,1,1,1,1,1,1,0,0,0,0,0,0,0
OR,1,1,1,1,1,1,0,0,0,0,0,0,0
PA,1,1,1,1,1,1,0,0,0,0,0,0,0
PR,1,1,1,1,1,1,0,0,0,0,0,1,1
RI,1,1,1,1,1,1,0,0,1,1,0,1,1
SC,1,1,1,1,1,1,0,0,0,0,0,1,1
SD,1,1,1,1,1,1,0,0,0,0,0,0,0
TN,1,1,1,1,1,1,1,0,0,1,0,1,0
TX,1,1,1,1,1,1,0,0,0,0,0,1,0
UT,1,1,1,1,1,1,0,0,0,0,0,1,1
VA,1,1,1,1,1,1,0,0,0,0,0,0,1
VI,1,1,1,1,1,1,0,0,0,0,0,1,0
VT,1,1,1,1,1,1,0,0,0,0,0,1,0
WA,1,1,1,1,1,1,0,0,0,0,0,1,0
WI,1,1,1,1,1,1,0,0,0,0,1,1,1
WV,1,1,1,1,1,1,0,0,0,0,0,1,1
WY,1,1,1,1,1,1,0,0,0,0,0,1,0
